"city","year","weekofyear","total_cases"
"sj",2011,1,51
"sj",2011,2,47
"sj",2011,3,50
"sj",2011,4,51
"sj",2011,5,54
"sj",2011,6,57
"sj",2011,7,58
"sj",2011,8,52
"sj",2011,9,64
"sj",2011,10,60
"sj",2011,11,70
"sj",2011,12,62
"sj",2011,13,56
"sj",2011,14,61
"sj",2011,15,62
"sj",2011,16,59
"sj",2011,17,66
"sj",2011,18,52
"sj",2011,19,63
"sj",2011,20,56
"sj",2011,21,43
"sj",2011,22,50
"sj",2011,23,45
"sj",2011,24,46
"sj",2011,25,51
"sj",2011,26,54
"sj",2011,27,50
"sj",2011,28,53
"sj",2011,29,51
"sj",2011,30,54
"sj",2011,31,53
"sj",2011,32,51
"sj",2011,33,57
"sj",2011,34,51
"sj",2011,35,48
"sj",2011,36,58
"sj",2011,37,57
"sj",2011,38,45
"sj",2011,39,52
"sj",2011,40,56
"sj",2011,41,56
"sj",2011,42,57
"sj",2011,43,57
"sj",2011,44,53
"sj",2011,45,52
"sj",2011,46,51
"sj",2011,47,54
"sj",2011,48,50
"sj",2011,49,56
"sj",2011,50,49
"sj",2011,51,62
"sj",2012,52,61
"sj",2012,1,58
"sj",2012,2,52
"sj",2012,3,57
"sj",2012,4,55
"sj",2012,5,56
"sj",2012,6,53
"sj",2012,7,58
"sj",2012,8,54
"sj",2012,9,64
"sj",2012,10,59
"sj",2012,11,60
"sj",2012,12,67
"sj",2012,13,57
"sj",2012,14,56
"sj",2012,15,62
"sj",2012,16,60
"sj",2012,17,67
"sj",2012,18,64
"sj",2012,19,55
"sj",2012,20,56
"sj",2012,21,55
"sj",2012,22,64
"sj",2012,23,69
"sj",2012,24,75
"sj",2012,25,76
"sj",2012,26,78
"sj",2012,27,71
"sj",2012,28,60
"sj",2012,29,63
"sj",2012,30,57
"sj",2012,31,64
"sj",2012,32,57
"sj",2012,33,56
"sj",2012,34,62
"sj",2012,35,55
"sj",2012,36,64
"sj",2012,37,74
"sj",2012,38,74
"sj",2012,39,69
"sj",2012,40,62
"sj",2012,41,64
"sj",2012,42,55
"sj",2012,43,59
"sj",2012,44,65
"sj",2012,45,63
"sj",2012,46,63
"sj",2012,47,56
"sj",2012,48,60
"sj",2012,49,59
"sj",2012,50,65
"sj",2012,51,60
"sj",2013,1,61
"sj",2013,2,59
"sj",2013,3,62
"sj",2013,4,57
"sj",2013,5,59
"sj",2013,6,58
"sj",2013,7,60
"sj",2013,8,63
"sj",2013,9,63
"sj",2013,10,72
"sj",2013,11,66
"sj",2013,12,78
"sj",2013,13,67
"sj",2013,14,60
"sj",2013,15,69
"sj",2013,16,69
"sj",2013,17,61
"iq",2010,26,58
"iq",2010,27,58
"iq",2010,28,59
"iq",2010,29,57
"iq",2010,30,57
"iq",2010,31,58
"iq",2010,32,57
"iq",2010,33,58
"iq",2010,34,57
"iq",2010,35,58
"iq",2010,36,58
"iq",2010,37,57
"iq",2010,38,58
"iq",2010,39,57
"iq",2010,40,57
"iq",2010,41,58
"iq",2010,42,58
"iq",2010,43,58
"iq",2010,44,59
"iq",2010,45,58
"iq",2010,46,59
"iq",2010,47,59
"iq",2010,48,58
"iq",2010,49,59
"iq",2010,50,58
"iq",2010,51,58
"iq",2011,52,58
"iq",2011,1,58
"iq",2011,2,58
"iq",2011,3,58
"iq",2011,4,57
"iq",2011,5,58
"iq",2011,6,59
"iq",2011,7,59
"iq",2011,8,59
"iq",2011,9,59
"iq",2011,10,59
"iq",2011,11,58
"iq",2011,12,59
"iq",2011,13,59
"iq",2011,14,59
"iq",2011,15,59
"iq",2011,16,58
"iq",2011,17,59
"iq",2011,18,59
"iq",2011,19,58
"iq",2011,20,58
"iq",2011,21,58
"iq",2011,22,58
"iq",2011,23,58
"iq",2011,24,58
"iq",2011,25,57
"iq",2011,26,58
"iq",2011,27,58
"iq",2011,28,57
"iq",2011,29,57
"iq",2011,30,58
"iq",2011,31,57
"iq",2011,32,58
"iq",2011,33,56
"iq",2011,34,57
"iq",2011,35,57
"iq",2011,36,57
"iq",2011,37,58
"iq",2011,38,58
"iq",2011,39,58
"iq",2011,40,58
"iq",2011,41,58
"iq",2011,42,58
"iq",2011,43,58
"iq",2011,44,58
"iq",2011,45,58
"iq",2011,46,59
"iq",2011,47,59
"iq",2011,48,58
"iq",2011,49,58
"iq",2011,50,59
"iq",2011,51,58
"iq",2012,52,59
"iq",2012,1,58
"iq",2012,2,58
"iq",2012,3,58
"iq",2012,4,58
"iq",2012,5,59
"iq",2012,6,59
"iq",2012,7,58
"iq",2012,8,58
"iq",2012,9,58
"iq",2012,10,58
"iq",2012,11,58
"iq",2012,12,58
"iq",2012,13,58
"iq",2012,14,58
"iq",2012,15,58
"iq",2012,16,59
"iq",2012,17,58
"iq",2012,18,58
"iq",2012,19,58
"iq",2012,20,58
"iq",2012,21,58
"iq",2012,22,58
"iq",2012,23,58
"iq",2012,24,58
"iq",2012,25,58
"iq",2012,26,58
"iq",2012,27,58
"iq",2012,28,58
"iq",2012,29,58
"iq",2012,30,57
"iq",2012,31,57
"iq",2012,32,57
"iq",2012,33,57
"iq",2012,34,58
"iq",2012,35,57
"iq",2012,36,57
"iq",2012,37,57
"iq",2012,38,57
"iq",2012,39,57
"iq",2012,40,57
"iq",2012,41,58
"iq",2012,42,58
"iq",2012,43,59
"iq",2012,44,58
"iq",2012,45,58
"iq",2012,46,59
"iq",2012,47,59
"iq",2012,48,59
"iq",2012,49,58
"iq",2012,50,59
"iq",2012,51,59
"iq",2013,1,58
"iq",2013,2,58
"iq",2013,3,58
"iq",2013,4,59
"iq",2013,5,58
"iq",2013,6,59
"iq",2013,7,58
"iq",2013,8,59
"iq",2013,9,58
"iq",2013,10,58
"iq",2013,11,59
"iq",2013,12,59
"iq",2013,13,59
"iq",2013,14,58
"iq",2013,15,58
"iq",2013,16,59
"iq",2013,17,59
"iq",2013,18,57
"iq",2013,19,58
"iq",2013,20,58
"iq",2013,21,58
"iq",2013,22,58
"iq",2013,23,58
"iq",2013,24,58
"iq",2013,25,57
"iq",2013,26,58
